,Pcap,Snwp
0,33.00164426841959,0.12581
1,34.76596669878391,0.12581
2,36.62461272142045,0.12581
3,38.58262503142052,0.12581
4,40.64531591468697,0.12581
5,42.81828166070434,0.12581
6,45.107417745839655,0.12581
7,47.518934828367435,0.12581
8,50.05937559861529,0.12581
9,52.73563252994604,0.12581
10,55.55496657873679,0.12581
11,58.52502688408957,0.12581
12,61.653871520721346,0.12581
13,64.94998936133761,0.12581
14,68.4223231078046,0.12581
15,72.08029355360617,0.12581
16,75.9338251434115,0.12581
17,79.99337289909971,0.12717512415736976
18,84.26995078529418,0.13019234136191907
19,88.7751615913651,0.13019234136191907
20,93.52122841097344,0.131926750335103
21,98.5210278045631,0.13334628819695182
22,103.78812473477507,0.13598926978204962
23,109.33680936956596,0.1394806695991394
24,115.18213585288278,0.14454952804071178
25,121.3399631480815,0.14970809335161037
26,127.82699806490243,0.15930313445280447
27,134.66084058673886,0.16577269795560862
28,141.86003162117626,0.21180771877823787
29,149.4441033033543,0.2373339635984123
30,157.43363198862966,0.2855446609202472
31,165.85029407831422,0.4009475439063851
32,174.71692482994928,0.46296183214735254
33,184.05758031167446,0.5995525721367448
34,193.89760266877934,0.6679037733737136
35,204.26368887951287,0.7094309788771672
36,215.18396318669193,0.7585158639986449
37,226.68805340162334,0.7912246557486987
38,238.80717128735964,0.8501230407659458
39,251.57419723937662,0.8712715565113505
40,265.0237694934196,0.8900549647518223
41,279.1923781025487,0.90672300320543
42,294.11846393835225,0.9229910675026134
43,309.84252298492856,0.9370027191181973
44,326.40721620859637,0.9472350146871252
45,343.8574853014213,0.9543262665411555
46,362.24067461258295,0.960236871618935
47,381.6066595983939,0.966120561814946
48,402.007982139469,0.972180241091139
49,423.4999930921746,0.9783007207495515
50,446.14100246111303,0.9810384361738228
51,469.9924376000769,0.9838897238798259
52,495.1190098706874,0.986057814788729
53,521.5888902108788,0.987082879387084
54,549.4738940895647,0.9892573880044059
55,578.8496763492855,0.9920414378729754
56,609.7959364654668,0.992687976155393
57,642.3966347791743,0.9939815661369019
58,676.7402202900346,0.9950643534384064
59,712.9198706273353,0.9960468975448948
60,751.0337448503811,0.9964814737283364
61,791.1852497639726,0.9973263262533213
62,833.4833204715516,0.9980367482389706
63,878.0427159271806,0.9982645585515276
64,924.9843302882193,0.9986298150211341
65,974.4355209134308,0.9991955155662119
66,1026.5304538964062,0.9994416255159172
67,1081.4104680717799,0.9994416255159172
68,1139.2244584818159,0.9994416255159172
69,1200.1292803437534,0.9996566991456124
70,1264.2901746139128,0.9996566991456124
71,1331.8812163031632,0.999850434952679
72,1403.0857867600744,0.999850434952679
73,1478.0970712031078,0.9998961290366207
74,1557.1185828516955,0.9998961290366207
75,1640.3647150782438,0.9998961290366207
76,1728.061323079083,0.9999292077394422
77,1820.4463366425146,0.9999292077394422
78,1917.7704056764474,0.9999292077394422
79,2020.2975802470098,0.9999292077394422
80,2128.3060269731486,0.9999625854651613
81,2242.0887837208666,0.9999625854651613
82,2361.954554644663,0.9999625854651613
83,2488.2285477332,0.9999625854651613
84,2621.253357131546,0.9999625854651613
85,2761.389892633826,0.9999625854651613
86,2909.018358868079,1.0
87,3064.5392868299623,1.0
88,3228.374620563948,1.0
89,3400.9688619402937,1.0
90,3582.7902766336792,1.0
91,3774.3321645754563,1.0
92,3976.114198326374,1.0
93,4188.683833000921,1.0
94,4412.617791568552,1.0
95,4648.523629561573,1.0
96,4897.041383434897,1.0
97,5158.845307049831,1.0
98,5434.645700993162,1.0
99,5725.190839694655,1.0
