,sat,Rel diff oil x,Rel diff oil y,Rel diff oil z,Rel diff water x,Rel diff water y,Rel diff water z
0,0.12911143413311324,1.0,1.0,1.0,1.000000000000008e-06,1.0000000000000031e-06,9.999999999999997e-07
1,0.1304714028122814,0.9983876822272235,0.9973158986943913,0.9965822554194654,1.0010630828652051e-06,1.0052657948241844e-06,1.000294076101452e-06
2,0.13347722530416398,0.9928386494866648,0.991007384137791,0.9906860841224396,1.0018657731257913e-06,1.0146496027336454e-06,1.0144188221824082e-06
3,0.13520508417155302,0.9908949301406859,0.9870955123060844,0.9867091991368362,1.0032769006915508e-06,1.0204058413266675e-06,1.0180542262995323e-06
4,0.13661926105838457,0.9885915608198714,0.982896956907618,0.9841299796561688,1.0056291673892173e-06,1.0260703517388418e-06,1.030309253591787e-06
5,0.13925226125543372,0.9834093731151611,0.9740681223470834,0.9783522520358736,1.009347760694349e-06,1.036663134721463e-06,1.0419902870106052e-06
6,0.1427304755790627,0.9784875335248685,0.9616951302866957,0.9726562575762306,1.0308662663379939e-06,1.0438622740111673e-06,1.2854280480218773e-06
7,0.14778019115435323,0.968413514302782,0.9470787098175685,0.9618525843597843,1.0450288509727983e-06,1.0595205628264162e-06,1.3858112235645471e-06
8,0.15291927481527265,0.953942354876749,0.9276394578524689,0.952959675547479,1.0965773035059884e-06,1.072024835474869e-06,0.000828326705569492
9,0.16247807963350758,0.9376486154064401,0.901286379084664,0.9348777726270836,1.1734975306742116e-06,1.152858306331265e-06,0.0020291237936102633
10,0.16892321041828184,0.9264591674150121,0.8678568653804175,0.9235731893861956,1.3265394604890634e-06,1.173083248718844e-06,0.003923367006533983
11,0.21478437705696668,0.8388646315381584,0.7712402583652904,0.8031918280323221,1.6642331642714e-06,1.3947924956977224e-06,0.004305983451299205
12,0.24021422039011936,0.7875410430813833,0.688747969351605,0.7560542404355137,0.01012456413302032,1.4193321729647243e-06,0.01720821354627654
13,0.2882428469473384,0.6837465464533232,0.5442904998795077,0.6668506063344322,0.021288866596711472,1.5015306516417205e-06,0.0426876715266485
14,0.4032099036063047,0.5060662618082068,0.28123404614163694,0.49561608310045213,0.07447846439002866,1.78943313826307e-06,0.11010003851084893
15,0.4649899909436477,0.4464969393748282,0.12277046443104067,0.4524156283808021,0.14234502059453882,1.8943925846386355e-06,0.20935937246555408
16,0.601064887316357,0.24472367415139115,0.05228546731679245,0.20732103824763182,0.2287055816291296,0.09891199342427001,0.3004156553407179
17,0.6691579558947469,0.16441438143857703,0.017047525957645266,0.1359089327749053,0.3032497844114792,0.1666113088043344,0.3802950795581886
18,0.710528331265504,0.1224287038899634,0.007496540954092804,0.08702586432713545,0.3755036457229509,0.22878590634303017,0.44483332617916643
19,0.7594278441965426,0.07717150102013261,0.001457786308777675,0.03304966603828923,0.46775563216835486,0.32735554699097613,0.5151009212187598
20,0.7920131091142871,0.0633037097541669,3.6311203960716363e-06,0.021936856559141477,0.5351461669496237,0.386310327486782,0.5677278550476678
21,0.8506890606346043,0.02193857815703659,2.916699628653345e-06,0.005658704087518125,0.5898853856005087,0.47254140002083667,0.6196115490178452
22,0.8717577076652598,0.015033020119681181,2.7832449865993603e-06,0.004397776895678691,0.6240954860460913,0.5177709495502338,0.6634674837345078
23,0.8904701791698946,0.006482841178812096,2.5228721368978873e-06,9.706385694765322e-05,0.6671645373095065,0.5837030064743497,0.7060695105020857
24,0.9070752697162021,0.005472320462581411,2.372200636453252e-06,2.464211702396772e-06,0.7059126959512468,0.6413031414879742,0.7383190698723665
25,0.923281896633925,0.0036068586400718676,1.7374600640139352e-06,2.013920217911136e-06,0.7469368152831845,0.6834828345297311,0.776132325399395
26,0.9372406323560478,0.001953922853508837,1.6508044900563575e-06,1.929973765390188e-06,0.7811569182906416,0.7263248978066219,0.818147370930502
27,0.9474342850099898,0.0013558022785203694,1.532626479604188e-06,1.624742231057378e-06,0.8144378231065202,0.7590631788076038,0.8474667450586103
28,0.9544987563003927,0.0008377622087324347,1.4363607295891168e-06,1.5296866590090818e-06,0.8367632974750878,0.7857985408066962,0.862899973880858
29,0.9603870396021841,0.00046556149974572795,1.3046489584550023e-06,1.4480527928237885e-06,0.8557056916454163,0.8105234444653875,0.8781593900698861
30,0.9662485096679696,1.5404358561701206e-06,1.2494781398398694e-06,1.355877563287456e-06,0.8726847800097558,0.8395194210641461,0.8936616787554212
31,0.9722853041799829,1.4322545495236836e-06,1.1874244303626868e-06,1.285105830385627e-06,0.8902703115856789,0.8610127699607744,0.908821168930213
32,0.9783826694577058,1.3187389887865236e-06,1.1179911724079909e-06,1.219566884831056e-06,0.9086833087085547,0.8818268733485106,0.9220740033718077
33,0.9811100457255597,1.1498881248528308e-06,1.0948430562041273e-06,1.1237267713372404e-06,0.9167789497616337,0.8958798011617799,0.9298442140230669
34,0.9839505653622005,1.1085569081812045e-06,1.0716282819413808e-06,1.0769577897266313e-06,0.92971631238157,0.911597250184039,0.9385083747432049
35,0.9861104683378963,1.0938943738432853e-06,1.0603901243162052e-06,1.0616694725947924e-06,0.9383484708765897,0.9229914376851605,0.9461220248427629
36,0.9871316617146021,1.0890903882521515e-06,1.0558257776472612e-06,1.0578600685869822e-06,0.9449182885045996,0.9286946374248106,0.9504261637878428
37,0.9892979581618327,1.0403597359025852e-06,1.0400630239383385e-06,1.036173050319047e-06,0.9546610361842784,0.9379500023882624,0.9576804852565177
38,0.9920714938890093,1.0158248696774262e-06,1.0267051858358463e-06,1.0236249239064202e-06,0.9658850028029667,0.9530468148511321,0.9675288721629811
