,sat,Rel diff oil x,Rel diff oil y,Rel diff oil z,Rel diff water x,Rel diff water y,Rel diff water z
0,0.003424157048336854,1.0,1.0,1.0,1.0000000000000177e-06,9.999999999999944e-07,9.999999999999915e-07
1,0.00486753085740341,0.9967827173524316,0.9955259253933934,0.9973095843816477,1.0055771721758266e-06,1.0064500688819105e-06,1.001704101822015e-06
2,0.008872135308249476,0.9891042201932195,0.990250107237791,0.9862511088927363,1.0199873398672676e-06,1.0242047084396857e-06,1.003047920460764e-06
3,0.0093975859671917,0.9881946729425006,0.9893231468353861,0.9857606196680033,1.0220061713586833e-06,1.02696180572037e-06,1.0041254989789206e-06
4,0.011209764135910594,0.9841447302738222,0.9863426340270532,0.9828730528569263,1.022848088942225e-06,1.038506372263757e-06,1.005098172506257e-06
5,0.01867196290371016,0.9652842185995921,0.9666811522045944,0.9727855017785217,1.078066273220813e-06,1.060734207613656e-06,1.0365022421294082e-06
6,0.0224199072469668,0.9543887799266454,0.9569836957964841,0.9655070198898462,1.0856654773990724e-06,1.076360164569682e-06,1.0605988842697089e-06
7,0.033797806783376544,0.9254310139024521,0.9361069037044204,0.9428496420420075,1.150530611485875e-06,1.1682443466116408e-06,1.0979077767374923e-06
8,0.03935841840002718,0.9136996720203099,0.9152370173816948,0.9344358672817016,1.1681440328642929e-06,1.1792058718203178e-06,1.1134949855960627e-06
9,0.06149727508772546,0.8515299102529136,0.8678456287503876,0.9005946480663589,1.2774706026272363e-06,1.3844433355519851e-06,1.216631358229544e-06
10,0.08211083779193273,0.808697912987967,0.7969046500303817,0.8669078973084126,0.0022633529833615117,1.4950573299191375e-06,0.0019956585068325516
11,0.3506061351152637,0.3149285220930416,0.37745339881855494,0.36934011798313543,0.061624909604676856,0.07687731309738823,0.08787913951568435
12,0.6148417291281949,0.06408888541913653,0.08585179843573942,0.1032205278499186,0.25811137283140567,0.28211661842419256,0.28863814536137805
13,0.7953682499870354,0.0012443113312655112,0.013308139673474686,0.01198512737590698,0.5150198584843957,0.5235138106599668,0.5183423094905322
14,0.8856013122516476,2.2522867601929705e-06,0.000574518463252206,0.0005423245337045177,0.6929965446655605,0.6910153811786809,0.6848787663135628
15,0.9402562785411606,1.2676312795238573e-06,1.2268287975537622e-06,1.188801119929615e-06,0.8179809833591805,0.8161430707103055,0.8117920320545295
16,0.9666839548433945,1.1276818288844277e-06,1.0605920464636805e-06,1.0719516766124636e-06,0.888854926508987,0.8862645156570225,0.883094754106502
17,0.9819957070861582,1.0351129653040723e-06,1.0248175779596642e-06,1.0235102305520316e-06,0.9353922784007946,0.9321400484712283,0.930216485871805
18,0.9893258249179526,1.0206318093783236e-06,1.008699667795534e-06,1.0135538043745097e-06,0.9604616056382205,0.9575645913164761,0.956059267885799
19,0.9941970677883207,1.0081410133297679e-06,1.0030529298321904e-06,1.006427840474466e-06,0.9775759005803484,0.9752711425004336,0.9742022878997737
20,0.9973270494287565,1.0029843331966647e-06,1.0013890950461241e-06,1.0022210778859863e-06,0.9891169607541385,0.9877162953917298,0.9872575299558627
21,0.9983293641895112,1.0018269522602172e-06,1.0009144386576303e-06,1.0013816349492073e-06,0.9928625899291608,0.9920137294491332,0.9918219732075165
22,0.9992163117899134,1.0005540687074062e-06,1.0003761869106227e-06,1.0008404313061753e-06,0.9968114624767548,0.9962165969258716,0.9960539170707248
23,0.9995628797019194,1.000275455535083e-06,1.000156454469368e-06,1.0002675069160016e-06,0.9981749131257425,0.9979746253447722,0.9977158320526011
24,0.9997750150885552,1.000131188061607e-06,1.0000947317996146e-06,1.0001426513471484e-06,0.9990205229903605,0.9989886943508294,0.9987655040104261
25,0.9998918398456217,1.000053739114264e-06,1.0000337096949403e-06,1.0001082731279183e-06,0.9995791201631254,0.9995418905743115,0.9993782022770464
26,0.9999390044361792,1.00002894673327e-06,1.0000179643549577e-06,1.0000274435030159e-06,0.9997653229667717,0.9997501053740927,0.9996534142699705
27,0.9999548371755959,1.0000238722838176e-06,1.0000165308196606e-06,1.0000222027746042e-06,0.9998443079569882,0.999809861811266,0.9997493743833872
28,0.9999808828093213,1.0000057150288028e-06,1.0000064128711e-06,1.000013258034208e-06,0.9999040386733221,0.9999270033737816,0.9998574785284088
29,0.9999941145483796,1.000000103277182e-06,1.0000016549516392e-06,1.0000006561284411e-06,0.99999465147976,0.9999849023841126,0.9999798109564418
30,0.9999963365735923,1.0000001032772093e-06,1.0000000553546072e-06,1.000000170134066e-06,0.9999973998502936,0.9999927695569698,0.9999855321499197
31,0.9999977941703063,1.0000001032772606e-06,1.0000000553548903e-06,1.000000027495449e-06,0.9999975961239576,0.9999985181905601,0.999997440876876
32,1.0,9.999999999999983e-07,9.999999999999788e-07,9.999999999999972e-07,1.0,1.0,1.0
