,Pcap,Snwp
0,206.0364058648191,0.0
1,216.10804647116487,0.0
2,226.6720172755529,0.0
3,237.75238476659047,0.0
4,249.37439187072212,0.0
5,261.564515459831,0.0
6,274.3505266699703,0.0
7,287.76155416864674,0.0
8,301.82815051478786,0.0
9,316.582361762568,0.0
10,332.0578004676709,0.0
11,348.28972226229894,0.0
12,365.31510617338967,0.0
13,383.17273886700906,0.0
14,401.9033030108508,0.0
15,421.54946995614466,0.0
16,442.15599695011366,0.0
17,463.7698291004562,0.0
18,486.44020632413327,0.0
19,510.21877552412093,0.000264917444694432
20,535.1597082496718,0.0005471438956930869
21,561.3198241081467,0.0012785183722309806
22,588.7587202095652,0.0019081765766623855
23,617.5389069387656,0.0030006162351045233
24,647.7259503644959,0.004057696558955065
25,679.3886216098639,0.004582076697751643
26,712.5990535244277,0.007354734699033241
27,747.4329050148729,0.008615278599179777
28,783.969533408622,0.009719420800927995
29,822.2921752430788,0.011869713137286839
30,862.4881358923452,0.013890522383258733
31,904.6489884634386,0.01648675264856932
32,948.870782415115,0.018249347379778142
33,995.2542623745601,0.021828305098034042
34,1043.9050976504723,0.02403776872068506
35,1094.9341229653758,0.03216254387169356
36,1148.4575909556252,0.04209342073429866
37,1204.5974370143053,0.05427730612804405
38,1263.4815570804117,0.10133796343045554
39,1325.2440990071484,0.3153169093206606
40,1390.0257681731196,0.5328204585117152
41,1457.974148032669,0.7076387154971251
42,1529.2440363356236,0.7872364980492923
43,1603.9977977824003,0.8521055782079417
44,1682.4057339178892,0.9107472778674017
45,1764.6464711067981,0.9296860546915083
46,1850.9073674743302,0.9531665147853083
47,1941.3849397392523,0.9663172736855874
48,2036.285310911783,0.9761040892748067
49,2135.824679876217,0.9794504270507687
50,2240.229813928064,0.9841980323273347
51,2349.7385653877805,0.989627091802894
52,2464.6004134680793,0.9904472490689393
53,2585.077032629199,0.991987826486218
54,2711.442888716993,0.993370098904007
55,2843.9858642419404,0.9955904582358055
56,2983.0079142235613,0.9960396959095846
57,3128.8257540943296,0.9968279418502624
58,3281.7715812302945,0.9974137068972728
59,3442.1938317521553,0.9975610403314121
60,3610.4579743208915,0.9978658615868552
61,3786.94734273636,0.998143912498684
62,3972.0640092356784,0.9987513138035746
63,4166.229700480894,0.9990755887270594
64,4369.88675832269,0.9990755887270594
65,4583.499147528949,0.9990755887270594
66,4807.553512773946,0.999285265615977
67,5042.560287296133,0.999285265615977
68,5289.054855750207,0.9995955278299755
69,5547.598773902774,0.9995955278299755
70,5818.7810479500695,0.9997860751637184
71,6103.219476372373,0.9997860751637184
72,6401.562057382066,0.9997860751637184
73,6714.488465171732,0.999870423813364
74,7042.711598325362,0.999870423813364
75,7386.97920392033,0.999870423813364
76,7748.075581020052,0.999870423813364
77,8126.823367438133,0.999870423813364
78,8524.08541384459,0.9999596548440706
79,8940.7667494837,0.9999596548440706
80,9377.8166439817,0.9999596548440706
81,9836.230769941361,0.9999596548440706
82,10317.053471250394,0.9999596548440706
83,10821.38014227114,0.9999596548440706
84,11350.359723331741,0.9999596548440706
85,11905.197318203886,1.0
86,12487.156939530458,1.0
87,13097.564388457226,1.0
88,13737.810275029164,1.0
89,14409.35318623212,1.0
90,15113.723008897572,1.0
91,15852.524415040087,1.0
92,16627.440517567888,1.0
93,17440.23670469516,1.0
94,18292.764661790912,1.0
95,19186.96658982737,1.0
96,20124.87963003779,1.0
97,21108.640504864445,1.0
98,22140.49038576864,1.0
99,23222.779998993672,1.0
