,sat,Rel diff oil x,Rel diff oil y,Rel diff oil z,Rel diff water x,Rel diff water y,Rel diff water z
0,0.003610902847536799,1.0,1.0,1.0,1.0000000000000008e-06,9.999999999999985e-07,1.000000000000042e-06
1,0.003874863701075822,0.9994207235974087,0.9994741735331288,0.9995956335491277,1.0000000000014973e-06,1.0008507677285384e-06,1.000000000003577e-06
2,0.004156071059778916,0.9990847389399942,0.9986675729632452,0.9991314762281184,1.0000000000049858e-06,1.0021900116146833e-06,1.0009438483369879e-06
3,0.004379818697591753,0.9986698767897105,0.9979944617617641,0.9989056750238027,1.000000000016637e-06,1.0031866716703129e-06,1.0009438483378372e-06
4,0.004612852650834568,0.998183947175759,0.9974725369365307,0.9984198968598466,1.0000000000242575e-06,1.0039623886428902e-06,1.0009438483378148e-06
5,0.004884804614136863,0.9976015700921022,0.9967325672855719,0.9978171418602034,1.0002718047978154e-06,1.0046506084376059e-06,1.0009438483311554e-06
6,0.00525068475496619,0.9969105669919345,0.9958692228186117,0.997076453671066,1.0002718047764257e-06,1.005918316817218e-06,1.0009438483124265e-06
7,0.005512189183964912,0.996354883363523,0.9950489043884245,0.9964456054669489,1.0002718047758887e-06,1.0068792996126236e-06,1.0009438483121059e-06
8,0.005588056628892836,0.9961724590635929,0.9946967292898216,0.9963330960273602,1.0004394442166894e-06,1.0072384676197907e-06,1.0009438483187023e-06
9,0.0060896482133458935,0.9951508283545141,0.9935523460446201,0.9954240603647958,1.000439444211316e-06,1.009014623038752e-06,1.0009438483066436e-06
10,0.0064779831664764885,0.9942960528994284,0.9925318489489868,0.9943559670753849,1.0007544257837759e-06,1.0101642424924431e-06,1.001134905249819e-06
11,0.006600684148933619,0.9941375634112737,0.9920220525885791,0.9941614282003107,1.000754425784246e-06,1.0105598054292537e-06,1.0011349052499602e-06
12,0.006835521770545186,0.9936572400367019,0.9913322510979037,0.993746829223504,1.000949475403678e-06,1.0112810235215288e-06,1.0011349052517534e-06
13,0.007273493677183847,0.9928165709376626,0.9898730970065939,0.9929474021628599,1.0030584990600967e-06,1.0123957185346656e-06,1.001620097382173e-06
14,0.007653947458432693,0.9922415958645068,0.9886066749710511,0.9923801735139275,1.0053267924660559e-06,1.0134738578107423e-06,1.0021342701922364e-06
15,0.008041653704303325,0.9914771068444636,0.9872351284935594,0.9916934188814437,1.0065829498702579e-06,1.0144149045235196e-06,1.0025544633632126e-06
16,0.008176434111492898,0.991140302365214,0.9868187515412864,0.9915353383208025,1.0066346823509906e-06,1.0146954642170192e-06,1.0026982270116604e-06
17,0.008807556569292762,0.9898948832534631,0.9844546781743697,0.9903269011492569,1.007974199742315e-06,1.0171292035287789e-06,1.0040965856796646e-06
18,0.009937243884244976,0.987691100004047,0.9802233285354739,0.9876953157185692,1.011028986354128e-06,1.020810556785443e-06,1.0051227873714831e-06
19,0.010064356124198256,0.9875345964488652,0.9798213409715809,0.9874639046335074,1.0110289863526012e-06,1.0210604951608067e-06,1.005122787367789e-06
20,0.01130667823433056,0.9855076538203329,0.9741010799926867,0.9853295094584763,1.014636592601258e-06,1.024552627051673e-06,1.0081938275300079e-06
21,0.011608220665556791,0.9848549186856406,0.973153141006466,0.9847636953867933,1.0167131241696727e-06,1.0253091709440982e-06,1.0088450725565712e-06
22,0.011836427658688942,0.9846451102744991,0.9720792100680289,0.9845518208829175,1.01807760633387e-06,1.025535846553656e-06,1.0132102215136092e-06
23,0.012195072512690475,0.9839570040918084,0.9701750614230746,0.9839903153964409,1.0185326835803393e-06,1.0264966879734037e-06,1.015138254966645e-06
24,0.012253081922988351,0.9838079332490506,0.9696890128504266,0.9839301191417804,1.0185549495563353e-06,1.0265199774187906e-06,1.0151398594735641e-06
25,0.012345879801670965,0.9837219272142961,0.9692939736539545,0.9837744897204393,1.018664244247584e-06,1.0267063738568492e-06,1.0153446600264415e-06
26,0.012880229439259363,0.982981553090569,0.9655581883953951,0.9829887879559425,1.0220166045782734e-06,1.028000578187457e-06,1.016930269784059e-06
27,0.013411222535902484,0.9820246098030645,0.962415864833968,0.9822462809754945,1.0266140334951528e-06,1.0288216462905642e-06,1.0198205364609353e-06
28,0.013854237842856058,0.9814004280295081,0.9594735216199688,0.9817139145889514,1.027678247713839e-06,1.0295073729998941e-06,1.025149216469506e-06
29,0.01442849836699645,0.9806309010158186,0.9556888102952579,0.9806522011554355,1.0653068015400589e-06,1.0310365137331885e-06,1.0361599858903552e-06
30,0.014843146264958043,0.9800263819969184,0.952790736658704,0.9801003869831901,1.0705264982554066e-06,1.0318727995693418e-06,1.0578506345163449e-06
31,0.015437755603856764,0.9794246679914563,0.9482167830006255,0.9792719170465077,1.1045837186658528e-06,1.0328830910665205e-06,1.0796127646131355e-06
32,0.016063264358581315,0.9787070610039407,0.9435661907300491,0.9783239378627224,1.108230131004973e-06,1.0341974426355742e-06,1.0829077015595243e-06
33,0.016806128366273886,0.977885829112607,0.938269187590698,0.9772774358485242,1.1097710319045547e-06,1.035372340150032e-06,1.0847224251051573e-06
34,0.017085879048046787,0.9775397001402982,0.9353698777742386,0.9769811944067822,1.1299720452249788e-06,1.035801054991414e-06,1.0863996282417087e-06
35,0.017513399984823076,0.9769539426954171,0.9307479809529233,0.9764561867708259,1.141468354816721e-06,1.0365490908956123e-06,1.089236770969619e-06
36,0.018390388207974877,0.9754782505768512,0.9247086282922653,0.9749055932054783,1.159163365540254e-06,1.0382379406650867e-06,1.1005081526256673e-06
