,Pcap,Snwp
0,303.29027815757433,0.0
1,319.05018917671515,0.0
2,335.62903444208354,0.0
3,353.0693683373205,0.0
4,371.4159565048758,0.0
5,390.71589074993176,0.0
6,411.01870991508787,0.0
7,432.3765270360784,0.0
8,454.8441631048919,0.0
9,478.47928778364724,0.0
10,503.342567430396,0.0
11,529.4978208168152,0.0
12,557.0121829374706,0.0
13,585.9562773311296,0.0
14,616.4043973564196,0.0
15,648.4346968871455,0.0007408028827903632
16,682.1293909167224,0.001448333129159106
17,717.5749665866518,0.002567807671511576
18,754.8624051806868,0.004882373429690091
19,794.0874156545187,0.005705208946127545
20,835.3506803003852,0.005993953155800683
21,878.7581131771914,0.0060963452496944305
22,924.4211319694555,0.007812357827693566
23,972.4569439729079,0.014752106068991612
24,1022.9888469407828,0.015300196129792066
25,1076.1465455630375,0.01603145632815009
26,1132.0664843908075,0.019061018118167745
27,1190.8921980606708,0.024767991940877976
28,1252.7746797176453,0.028214236866764355
29,1317.8727685826136,0.032151279994292854
30,1386.3535576589436,0.03505737192865118
31,1458.392822624841,0.03993010841714853
32,1534.175473012267,0.056463368236275846
33,1613.8960268305457,0.06519344888603282
34,1697.7591098528742,0.07465920030048796
35,1785.9799808473465,0.08852328417764191
36,1878.7850841005957,0.2667806131226102
37,1976.4126306523212,0.42050014788723195
38,2079.113209732548,0.5824898228131842
39,2187.1504319711103,0.6749528283104432
40,2300.801606030276,0.7724333324290102
41,2420.3584503973557,0.8224323250192556
42,2546.1278421642396,0.8791156787836084
43,2678.4326047159016,0.9099220838190983
44,2817.612336349621,0.9307966767627466
45,2964.0242819518885,0.9504922801454319
46,3118.044249970329,0.9618439110712946
47,3280.0675770343946,0.9753210709470019
48,3450.510142700721,0.9797715143972702
49,3629.809436927858,0.9855059331884225
50,3818.425683020317,0.9887467503803644
51,4016.8430189242945,0.991546436182929
52,4225.570739907206,0.9926249707889363
53,4445.144605810755,0.9945979630483534
54,4676.128216232954,0.997317865378588
55,4919.114457168896,0.9975474195929624
56,5174.727022823483,0.9981785596103757
57,5443.62201650234,0.9986435184587354
58,5726.489634690016,0.9992136190982063
59,6024.0559386381365,0.9992136190982063
60,6337.084718010809,0.9993814091326525
61,6666.379451370897,0.9996003058326353
62,7012.785368539291,0.9996819386876087
63,7377.19162012079,0.9997742420579068
64,7760.533559765324,0.9998914682157478
65,8163.795145022637,0.9999387948601686
66,8588.011462952889,0.9999387948601686
67,9034.271386975839,0.9999387948601686
68,9503.720371778234,0.9999546819996459
69,9997.563393453333,0.9999546819996459
70,10517.068042419298,0.9999808171241417
71,11063.567777055247,0.9999808171241417
72,11638.465346406398,0.999994094326426
73,12243.236390743714,0.999994094326426
74,12879.43322921995,0.999994094326426
75,13548.688844343935,0.9999963239863444
76,14252.721073500812,0.9999963239863444
77,14993.337018276674,0.9999963239863444
78,15772.437682905476,0.9999963239863444
79,16592.02285374431,0.9999977865912472
80,17454.196232301158,0.9999977865912472
81,18361.170834991062,0.9999977865912472
82,19315.274673480606,0.9999977865912472
83,20318.956730200418,0.9999977865912472
84,21374.793244364442,0.9999977865912472
85,22485.49432463019,0.9999977865912472
86,23653.910905373472,1.0
87,24883.04206443321,1.0
88,26176.0427211086,1.0
89,27536.23173416873,1.0
90,28967.100420660132,1.0
91,30472.3215173777,1.0
92,32055.75860800219,1.0
93,33721.476040101006,1.0
94,35473.74935744732,1.0
95,37317.07627443545,1.0
96,39256.18822076048,1.0
97,41296.062485996146,1.0
98,43441.93499524311,1.0
99,45699.31374863855,1.0
